1,"Bilgi ve Bilgi İşleme
Bilimleri",Information and Computing Sciences
2,Bilgi Sistemleri,Information Systems
3,Bilgi Güvenliği Yönetimi,Information Security Management
3,"Bilgi Modelleme, Yönetim ve Ontolojiler","Information Modelling, Management and Ontologies"
3,Bilgi Sistemleri Eğitimi,Information Systems Education
3,"Bilgi Sistemleri Felsefesi, Araştırma Yöntemleri ve Teori","Information Systems Philosophy, Research Methods and Theory"
3,Bilgi Sistemleri Geliştirme Metodolojileri ve Uygulamaları,Information Systems Development Methodologies and Practice
3,Bilgi Sistemleri Kullanıcı Deneyimi Tasarımı ve Geliştirme,Information Systems User Experience Design and Development
3,Bilgi Sistemleri Organizasyonu ve Yönetimi,Information Systems Organisation and Management
3,E-Devlet,E-State
3,Elektronik Belge Yönetim Sistemleri,Electronic Documentation Management Systems
3,İş Süreçleri Yönetimi,Business Process Management
3,Karar Desteği ve Grup Destek Sistemleri,Decision Support and Group Support Systems
3,"Organizasyonel, Organizasyon Dışı ve Küresel Bilgi Sistemleri","Inter- Organisational, Extra- Organisational and Global Information Systems"
3,Sürdürülebilir Kalkınma ve Kamu Yararına Bilgi Sistemleri,Information Systems For Sustainable Development and The Public Good
3,Yönetim Bilişim Sistemleri,Management Information Systems
3,Bilgi Sistemleri (Diğer),Information Systems (Other)
2,Bilgisayar Görüşü ve Çoklu Ortam Hesaplama,Computer Vision and Multimedia Computation
3,Aktif Algılama,Active Sensing
3,Bilgisayar Görüşü,Computer Vision
3,Görüntü İşleme,Image Processing
3,"Hesaplamalı
Görüntüleme","Computational
Imaging"
3,Multimodal Analiz ve Sentez,Multimodal Analysis and Synthesis
3,Örüntü Tanıma,Pattern Recognition
3,Resim ve Video Kodlama,Image and Video Coding
3,Ses İşleme,Audio Processing
3,Video İşleme,Video Processing
3,Bilgisayar Görüşü ve Çoklu Ortam Hesaplama (Diğer),Computer Vision and Multimedia Computation (Other)
2,Dağıtık Bilgi İşleme ve Sistem Yazılımı,Distributed Computing and Systems Software
3,"Ağ Oluşturma ve
İletişim",Networking and Communications
3,Bulut Bilişim,Cloud Computing
3,"Dağıtılmış Sistemler
ve Algoritmalar","Distributed Systems
and Algorithms"
3,Enerji Tasarruflu Hesaplama,Energy-Efficient Computing
3,Eşzamanlı / Paralel Sistemler ve Teknolojiler,Concurrent/Parallel Systems and Technologies
3,Güvenilir Sistemler,Dependable Systems
3,İşletim Sistemleri,Operating Systems
3,Paralel ve Dağıtık Sistemler,Parallel and Distributed System
3,Performans Değerlendirmesi,Performance Evaluation
3,Servis Odaklı Hesaplama,Service Oriented Computing
3,Siberfizik Sistemleri ve Nesnelerin İnterneti,Cyberphysical Systems and Internet of Things
3,"Uç Nokta
Hesaplama",Edge Computing
3,Yüksek Performanslı Hesaplama,High Performance Computing
3,Dağıtık Bilgi İşleme ve Sistem Yazılımı (Diğer),Distributed Computing and Systems Software (Other)
